1 0.0597
2 0.1526
3 0.1801
4 0.2296
5 0.2511
6 0.2976
7 0.3235
8 0.3573
9 0.3891
10 0.4166
11 0.4681
12 0.4885
13 0.5070
14 0.5598
15 0.5929
16 0.6117
17 0.6266
18 0.6667
19 0.6596
20 0.6728
21 0.7164
22 0.6834
23 0.7413
24 0.7617
25 0.7437
26 0.7637
27 0.7841
28 0.7863
29 0.8055
30 0.8316
31 0.8351
32 0.8300
33 0.8420
34 0.8505
35 0.8377
36 0.8533
37 0.8657
38 0.8705
39 0.8721
40 0.8770
41 0.8637
42 0.8835
43 0.8807
44 0.8726
45 0.8927
46 0.8705
47 0.8624
48 0.8978
49 0.8988
50 0.8961
51 0.9039
52 0.8923
53 0.9025
54 0.9087
55 0.9104
56 0.9126
57 0.9080
58 0.9110
59 0.8988
60 0.9081
61 0.9025
62 0.8607
63 0.9206
64 0.9207
65 0.9173
66 0.9143
67 0.9172
68 0.9206
69 0.9263
70 0.9288
71 0.9220
72 0.9295
73 0.9322
74 0.9158
75 0.9069
76 0.9319
77 0.9340
78 0.9337
79 0.9350
80 0.9381
81 0.9359
82 0.9386
83 0.9046
84 0.9355
85 0.9159
86 0.9345
87 0.9351
88 0.9390
89 0.9389
90 0.9361
91 0.8821
92 0.9382
93 0.9364
94 0.9156
95 0.9430
96 0.9351
97 0.9417
98 0.9414
99 0.9471
100 0.9381
